rto,state,utility_name,ownership_type,program_name,program_category,customer_segment,eligible_assets,enrollment_basis,incentive_structure,incentive_value_usd,event_limits,tariff_schedule,on_peak_window,peak_offpeak_rates,export_compensation,storage_eligible,stackable_with,program_status,source_url,last_verified,confidence
MISO,WI,Wisconsin Electric Power Co (We Energies),IOU,Smart Thermostat Rewards,DR-BYOT,Residential,Thermostat/AC,Opt-in,enrollment bonus + monthly summer bill credit,$25 enrollment + $6.25/mo Jun-Sep ($50 yr 1); $25/yr thereafter,Max 20 events/summer season; weekdays Jun-Sep mostly 1p-7p; 4hr max; up to 4degF adjustment,N/A (EnergyHub/GreaterGrid pilot),Weekdays Jun-Sep mostly 1p-7p,,,No,Time-of-Use;Residential EV Pilot,Pilot,https://www.we-energies.com/services/smart-thermostat-rewards-program,2026-08-08,High
MISO,WI,Wisconsin Electric Power Co (We Energies),IOU,Residential EV Pilot Program (EV-R),EV-Rate,Residential,EV/EVSE,Opt-in,off-peak per-kWh bill credit,$0.04/kWh on Rg-1 or $0.01/kWh on Rg-2 for midnight-8a usage; capped at 400 kWh/mo,Max 400 kWh/mo credited; all-electric BEV only; owner-occupied WI residence,Rate EV-R,Credit window 12a-8a daily,Rg-1 flat $0.19342/kWh; Rg-2 on $0.30084 / off $0.10028,,No,Wisconsin Time-of-Use,Pilot,https://www.we-energies.com/services/electric-vehicles/ev-charger-pilot,2026-08-08,High
MISO,WI,Wisconsin Electric Power Co (We Energies),IOU,Business EV Pilot Program (EV-C),EV-Rate,SmallC&I;LargeC&I,EV/EVSE,Opt-in,utility infrastructure cost allowance (no rate discount; standard rate applies),Case-by-case allowance; cost estimates include 20% cushion,Min 150 kW of new Level 2/DCFC charging committed,Rate EV-C,,,,No,Unknown,Active,https://www.we-energies.com/services/electric-vehicles/ev-business-charger-pilot,2026-08-08,High
MISO,WI,Wisconsin Public Service Corp (WPS),IOU,Residential Service Two-Tier Time-of-Use,TOU-Rate,Residential,Any,Opt-in,rate discount off-peak,,,Rate Rg-3,,on $0.26730/kWh / off $0.08353/kWh,,Yes,Residential EV Pilot,Active,https://www.wisconsinpublicservice.com/services/electric-vehicles/ev-charger-pilot,2026-08-08,Medium
MISO,WI,Wisconsin Public Service Corp (WPS),IOU,Residential Service Three-Tier Optional Time-of-Use,TOU-Rate,Residential,Any,Opt-in,rate discount off-peak/shoulder,,Min 3-month commitment; capped at 1500 participants,Rate Rg5-OTOU,"Winter: weekdays 4p-8p; Summer: weekdays 1p-7p",on $0.33689/kWh / shoulder $0.14802/kWh / off $0.08353/kWh,,Yes,Residential EV Pilot,Active,https://www.wisconsinpublicservice.com/company/wi_tariffs/rg5otou.pdf,2026-08-08,High
MISO,WI,Wisconsin Public Service Corp (WPS),IOU,Lg Comm'l & Indus-Interruptible Rider,DR-Curtailment,LargeC&I,GeneralLoad,Opt-in,$/kW interruptible demand credit vs charge,"Credit $8.039/kW summer, $4.020/kW winter (secondary); charge reduced accordingly by voltage level",Min 200 kW interruptible demand for >=8 billing periods/yr; max 600 contracted interruption hrs/yr; 5-yr contract,Rate Cp-I2,Economic interruption triggered when Day-Ahead LMP exceeds EITP (>= $0.06/kWh or 1.2x gas-fired cost),,,Yes-restricted,Unknown,Active,https://www.wisconsinpublicservice.com/company/wi_tariffs/CPI2.pdf,2026-08-08,High
MISO,WI,Wisconsin Public Service Corp (WPS),IOU,Residential EV Pilot Program (EV-R),EV-Rate,Residential,EV/EVSE,Opt-in,off-peak per-kWh bill credit,$0.04/kWh (Rg-1) or $0.01/kWh (Rg-3) or $0.005/kWh (Rg-5) for midnight-8a usage; capped at 400 kWh/mo,Max 400 kWh/mo credited; all-electric BEV only,Rate EV-R,Credit window 12a-8a daily,Rg-1 flat $0.14802/kWh,,No,Time-of-Use rates,Pilot,https://www.wisconsinpublicservice.com/services/electric-vehicles/ev-charger-pilot,2026-08-08,High
MISO,WI,Wisconsin Public Service Corp (WPS),IOU,Parallel Generation-Purchase (PG-2C),Export-Comp,All,Solar+Storage,Opt-in,negotiated buy-back rate for QF generation,Negotiated per PSCW guidelines; renewable premium at company discretion,Generating capacity <=20000 kW (<=5000 kW may choose PG-2C or PG-2B LMP-indexed),Rate PG-2C,,,Negotiated buy-back; customer retains REC rights unless premium accepted,Yes-restricted,Unknown,Active,https://www.wisconsinpublicservice.com/company/wi_tariffs/PG-2C.pdf,2026-08-08,High
MISO,WI,Wisconsin Power & Light Co (Alliant Energy),IOU,Nights and Weekends,TOU-Rate,Residential,Any,Opt-in,rate discount off-peak,,,Rate Rg-5,Weekdays 7a-7p (full price); discount after 7pm weekdays and all weekend,Unknown exact c/kWh split,,Yes,Smart Hours,Active,https://www.alliantenergy.com/ways-to-save/residential-rate-options/wisconsin,2026-08-08,Medium
MISO,WI,Wisconsin Power & Light Co (Alliant Energy),IOU,Smart Hours - Smart Thermostats,DR-BYOT,Residential,Thermostat/AC,Opt-in,enrollment bonus + seasonal bill credit,$25 enrollment (virtual Visa) + $25/season participated,"Max 15 events/season; summer Jun1-Sep30, winter Dec1-Mar31; rarely >4hrs; no weekends/holidays",N/A (AutoGrid FlexSaver pilot),Event days only (pre-cool/heat then reduce),,,No,Nights and Weekends;Smart Hours EV;Smart Hours Water Heater,Active,https://www.alliantenergy.com/ways-to-save/smart-hours/wisconsin,2026-08-08,High
MISO,WI,Wisconsin Power & Light Co (Alliant Energy),IOU,Smart Hours - Electric Water Heaters,DR-BYOD,Residential,ElectricWaterHeater,Opt-in,enrollment bonus + seasonal bill credit,$25 enrollment (virtual Visa) + $25/season participated,"Max 15 events/season; summer Jun1-Sep30, winter Dec1-Mar31; rarely >4hrs",N/A (Aquanta/AutoGrid pilot),Event days only,,,No,Smart Hours Thermostat;Smart Hours EV,Active,https://www.alliantenergy.com/ways-to-save/smart-hours/wisconsin,2026-08-08,High
MISO,WI,Wisconsin Power & Light Co (Alliant Energy),IOU,Smart Hours - Electric Vehicles/Chargers,EV-Rate,Residential,EV/EVSE,Opt-in,enrollment bonus + seasonal bill credit,$25 enrollment (virtual Visa) + $25/season participated,"Max 15 events/season; summer Jun1-Sep30, winter Dec1-Mar31; rarely >4hrs",N/A (AutoGrid pilot),Event days only (charging paused/shifted),,,No,Smart Hours Thermostat;Smart Hours Water Heater,Active,https://www.alliantenergy.com/ways-to-save/smart-hours/wisconsin,2026-08-08,High
MISO,WI,Wisconsin Power & Light Co (Alliant Energy),IOU,Smart Hours - Battery Storage Systems,VPP,Residential,Battery,Opt-in,upfront enrollment incentive + annual performance payment,$100/kWh of battery nameplate capacity at enrollment + annual performance payment (amount unpublished),Limited number of events/yr; battery pre-charges ahead of event then discharges during event,N/A (AutoGrid pilot),Event days only,,,Yes,Nights and Weekends;Net Metering/Power Partnership,Active,https://www.alliantenergy.com/ways-to-save/smart-hours/wisconsin,2026-08-08,High
MISO,WI,Wisconsin Power & Light Co (Alliant Energy),IOU,Electric Interruptible Program (Cp-1/Cp-2),DR-Curtailment,LargeC&I,GeneralLoad,Opt-in,annual rate discount for curtailable load,Discount on electricity price for entire year (amount set in Cp-1/Cp-2 tariff),"Min 200 kW curtailable for >=6 months/yr; max 50 hrs economic + 150 hrs reliability interruption/yr; 1-hr or instantaneous (10-min) response options",Rate Cp-1/Cp-2 Interruptible Rider,,,,Yes-restricted,Unknown,Active,https://www.alliantenergy.com/ways-to-save/interruptible-program/wisconsin-electric,2026-08-08,High
MISO,WI,Wisconsin Power & Light Co (Alliant Energy),IOU,Net Metering / Power Partnership,Export-Comp,All,Solar+Storage,Opt-in,retail-rate monthly net credit; avoided-cost true-up for annual excess,"Retail rate for monthly net excess; avoided cost ~$0.04254/kWh average (2026) for surplus/true-up; Power Partnership min charge $10/mo (<=20kW) or $15/mo (20-75kW)",Legacy net metering customers grandfathered to 2032; new customers after 2025 default to Power Partnership,Net Metering / Power Partnership tariff,,,"1:1 retail credit monthly net excess; annual true-up / new customers at avoided cost ~4.25c/kWh",Yes-restricted,Smart Hours Battery Storage,Active,https://www.renewwisconsin.org/the-power-of-partnership/,2026-08-08,Medium
MISO,WI,Madison Gas and Electric Co (MGE),IOU,Residential/Small Time-of-Use,TOU-Rate,Residential;SmallC&I,Any,Opt-in,rate discount off-peak,,Min 1-year commitment once enrolled,Rate Cg-3 (closed to new since 1/1/2021 - existing only); residential TOU also offered,Weekdays 9p-10a off-peak window referenced for EV charging shift,Save >20% on shifted usage per MGE marketing,,Yes,Charge Ahead,Closed to new enrollment,https://www.mge.com/my-account/rates/electric-rates/time-of-use,2026-08-08,Medium
MISO,WI,Madison Gas and Electric Co (MGE),IOU,Interruptible Service Rider (Is-3),DR-Curtailment,LargeC&I,GeneralLoad,Opt-in,$/kW-day demand charge credit + buy-through option,$0.12329/kW per day credit on interruptible portion of on-peak demand,"Min 500 kW on-peak interruptible load; 3-yr contract; max 300 combined hrs interruption+buy-through/yr, interruptions capped at 150 hrs; buy-through triggered when day-ahead LMP >$150/MWh for 2+ consecutive hrs (LMP+10%)","Rate Is-3 (applies to Cg-2, Cg-6, Sp-3)",,,,Yes-restricted,Unknown,Active,https://www.mge.com/MGE/media/MGE-Library/documents/rates-electric/e10-1-0-is3-20240326.pdf,2026-08-08,High
MISO,WI,Madison Gas and Electric Co (MGE),IOU,Direct Control Interruptible Service Rider (Is-4),DR-DLC,SmallC&I,GeneralLoad,Opt-in,demand charge credit for direct-control interruptible load,Unpublished $/kW credit (see tariff sheet E-10.2),Min 75 kW interruptible load,Rate Is-4,,,,Yes-restricted,Unknown,Active,https://www.mge.com/my-account/rates/electric-rates/business-electric-rates,2026-08-08,Medium
MISO,WI,Madison Gas and Electric Co (MGE),IOU,Charge Ahead (managed EV charging),EV-Rate,Residential,EV/EVSE,Opt-in,monthly bill credit for managed off-peak charging,Up to $8/mo (summer) and $4/mo (rest of year) for standard-rate customers; TOU customers get savings via rate instead of credit,No credit for customers already on TOU rate,N/A (ev.energy platform pilot),Charging shifted to off-peak/renewable-rich hours,,,No,Time-of-Use,Active,https://www.mge.com/smart-energy/electric-vehicles/ev-programs/charge-ahead,2026-08-08,High
MISO,WI,Madison Gas and Electric Co (MGE),IOU,Parallel Generation (PG-2) Net Metering,Export-Comp,All,Solar+Storage,Opt-in,monthly kWh credit carryover; annual buy-back rate for net sellers,"Retail rate credit for monthly net excess (rolls to next month); net sellers (generate more than consumed annually) paid buy-back rate ~$0.038/kWh (Sheet E-2.2)","Applies to solar, wind, CHP customer generation",Rate PG-2,,,"Monthly netting at retail rate; annual net excess for net sellers paid ~3.8c/kWh avoided-cost buyback",Yes-restricted,Unknown,Active,https://www.mge.com/smart-energy/clean-energy/solar-energy/net-metering,2026-08-08,High
MISO,WI,Northern States Power Co - Wisconsin (Xcel Energy),IOU,Parallel Generation Pg-1 Net Energy Billing,Export-Comp,All,Solar+Storage,Opt-in,net metering at full retail rate; year-end excess paid at Pg-2B LMP rates,"Year-end excess paid at forecast LMP: peak summer $0.04007/kWh, peak winter $0.03548/kWh, off-peak $0.02595/kWh",System <=100 kW-AC,Rate Pg-1,,,"1:1 net metering at retail rate, monthly banking; year-end excess at avoided-cost LMP (no capacity/transmission credit)",Yes-restricted,Unknown,Active,https://www.xcelenergy.com/staticfiles/xe-responsive/Working%20With%20Us/Renewable%20Developers/WI%20Parallel%20Generation%20Tariff%20Info%20Sheet%202024_FINAL.pdf,2026-08-08,High
MISO,WI,Northern States Power Co - Wisconsin (Xcel Energy),IOU,Parallel Generation Pg-2A Sale to Company,Export-Comp,LargeC&I,Solar+Storage;Generator,Opt-in,standard-offer contract; LMP energy + term-based capacity credit + transmission credit,"Capacity credit $/kW-month by contract term: 1yr $0.00, 5yr $5.83, 10yr $6.09, 15yr $6.34 (starts 2026); transmission credit $0.00718/kWh all hours","QF <=5,000 kW-AC; all energy sold to company under contract",Rate Pg-2A,,,All output sold at wholesale LMP (loss-adjusted) plus capacity and transmission credits,Yes-restricted,Unknown,Active,https://www.xcelenergy.com/staticfiles/xe-responsive/Working%20With%20Us/Renewable%20Developers/WI%20Parallel%20Generation%20Tariff%20Info%20Sheet%202024_FINAL.pdf,2026-08-08,High
MISO,WI,Northern States Power Co - Wisconsin (Xcel Energy),IOU,Parallel Generation Pg-2B Sale to Company After Self Supply,Export-Comp,SmallC&I;LargeC&I,Solar+Storage,Opt-in,no-contract sale of excess at LMP,"Excess kWh credited at forecast LMP: peak summer $0.04007/kWh, peak winter $0.03548/kWh, off-peak $0.02595/kWh; transmission credit $0.00718/kWh; no capacity credit","QF <=1,000 kW-AC",Rate Pg-2B,,,"Self-supply then sell excess at avoided-cost LMP, no capacity credit",Yes-restricted,Unknown,Active,https://www.xcelenergy.com/staticfiles/xe-responsive/Working%20With%20Us/Renewable%20Developers/WI%20Parallel%20Generation%20Tariff%20Info%20Sheet%202024_FINAL.pdf,2026-08-08,High
MISO,WI,Northern States Power Co - Wisconsin (Xcel Energy),IOU,Residential Electric Vehicle Service (Time-of-Use whole-home),EV-Rate,Residential,EV/EVSE,Opt-in,whole-home billed on existing residential TOU rate,Unknown exact c/kWh (uses standard residential TOU schedule),For customers with on-site solar or existing TOU rate; whole home incl. EV billed under TOU,Residential EV Program (PSCW-approved),,,,No,Unknown,Active,https://www.renewwisconsin.org/psc-approves-xcel-energys-electric-vehicle-programs/,2026-08-08,Medium
MISO,WI,Northern States Power Co - Wisconsin (Xcel Energy),IOU,Interruptible Service Option Credit,DR-Curtailment,LargeC&I,GeneralLoad,Opt-in,bill credit for curtailable/interruptible load,Unpublished (not verifiable from public pages),Unknown,Interruptible Service Option,,,,Yes-restricted,Unknown,Active,https://my.xcelenergy.com/s/business/rate-plans/interruptible-service-option,2026-08-08,Low
MISO,WI,Superior Water Light & Power Co (ALLETE),IOU,Residential Service Time-of-Day (ERTD),TOU-Rate,Residential,Any,Opt-in,rate discount off-peak,,,Rate ERTD,On-peak 9a-9p weekdays,"on winter $0.1514/kWh, summer $0.1598/kWh / off-peak $0.0760/kWh",,Yes,Unknown,Active,https://www.swlp.com/CustomerService/ElectricRatesExtensionRules,2026-08-08,High
MISO,WI,Superior Water Light & Power Co (ALLETE),IOU,Controlled Water Heating (EW1),DR-DLC,Residential,ElectricWaterHeater,Opt-in,discounted flat energy rate for utility-controlled water heater circuit,$0.0906/kWh vs standard $0.1393/kWh (~35% discount),Separately metered water heater circuit; subject to utility control,Rate EW1,,,,No,Unknown,Active,https://www.swlp.com/CustomerService/ElectricRatesExtensionRules,2026-08-08,High
MISO,WI,Superior Water Light & Power Co (ALLETE),IOU,Controlled Space Heating (ED1/CSHS),DR-DLC,Residential,SpaceHeat,Opt-in,discounted flat energy rate for interruptible space-heating circuit,$0.0837/kWh vs standard $0.1393/kWh,Non-electric backup heat source required; subject to interruption,Rate ED1/CSHS,,,,No,Unknown,Active,https://www.swlp.com/CustomerService/ElectricRatesExtensionRules,2026-08-08,High
MISO,WI,Superior Water Light & Power Co (ALLETE),IOU,General/Large Power Service Time-of-Day (EC5/EP3/EP5),Demand-Charge,SmallC&I;LargeC&I,Battery;GeneralLoad,Default,demand charge (seasonal) + TOU energy,"Demand $10.00-12.35/kW (summer/winter varies by schedule) + distribution demand $3.00/kW","Mandatory >=500 kW (EC5/EP3) or >=10,000 kW / Washburn Co. (EP5)",Rate EC5/EP3/EP5,On-peak 9a-9p weekdays (per rate book); winter Nov-Feb,"on winter ~$0.0684-0.0893/kWh, summer ~$0.0684-0.0856/kWh / off-peak ~$0.0516-0.0646/kWh",,Yes,Unknown,Active,https://www.swlp.com/CustomerService/ElectricRatesExtensionRules,2026-08-08,High
MISO,WI,WPPI Energy,Municipal,Power Partner Rewards (formerly Bring Your Own Device/BYOT),DR-BYOT,Residential;SmallC&I,Thermostat/AC,Opt-in,enrollment bonus + annual bill credit,$25 enrollment bill credit + $25/summer participated (up to $50 total),Opt-out of any event permitted; administered by WPPI Energy (EnergyHub/GreaterGrid) on behalf of participating member municipal utilities,N/A (PSCW-approved BYOD docket originating with Village of Waunakee),Summer peak events,,,No,Unknown,Active,https://www.renewwisconsin.org/psc-approves-wppis-bring-your-own-device-demand-response-program/,2026-08-08,High
MISO,MI,Consumers Energy Co,IOU,Summer Rate (Default Residential TOU),TOU-Rate,Residential,Any,Default,rate discount off-peak (default plan),On-peak $0.245/kWh; off-peak $0.197/kWh (summer); flat $0.176/kWh non-summer,Jun 1-Sep 30 summer season,Summer Rate (default),Weekdays 2p-7p Jun-Sep,on $0.245/kWh / off $0.197/kWh (summer); flat $0.176/kWh rest of year,,Yes,Peak Time Rewards;Critical Peak Pricing;PowerMIDrive,Active,https://consumersenergy.com/summerrate,2026-08-08,High
MISO,MI,Consumers Energy Co,IOU,Critical Peak Pricing Program,CPP-PTR,Residential,Any;Battery,Opt-in,discounted off-peak rate + high event-only penalty rate,"Off-peak/on-peak 17.0c/23c per kWh (non-event); event rate $1.00/kWh 2-6pm on event days",Max 14 events/yr; Jun 1-Aug 31; weekdays 2-6pm non-holiday; min 12-month commitment,Critical Peak Pricing (CPP),Weekdays 2p-6p (event days only),"non-event on 23c/off 17.0c per kWh; event $1.00/kWh",,Yes-restricted,Summer Rate,Active,https://www.consumersenergy.com/residential/account-and-billing/rates/electric-rates-and-programs/rate-plan-options/time-of-use-rate-plans/critical-peak-pricing-program,2026-08-08,High
MISO,MI,Consumers Energy Co,IOU,Peak Time Rewards Program,CPP-PTR,Residential,Any;Battery,Opt-in,peak-time rebate for load reduction/shift,"$1/kW (per program hero) or $0.50/kWh (per PTR summary table) credited for usage shifted out of 2-6pm on event days; baseline 17.8c/kWh other hours",Max 14 events/yr; Jun 1-Aug 31; weekdays 2-6pm non-holiday; no penalty for non-participation,Peak Time Rewards (PTR),Weekdays 2p-6p (event days only),baseline 17.8c/kWh; event credit ~$0.50-$1/kWh shifted,,Yes-restricted,Summer Rate,Active,https://www.consumersenergy.com/residential/account-and-billing/rates/electric-rates-and-programs/rate-plan-options/time-of-use-rate-plans/peak-time-rewards-program,2026-08-08,High
MISO,MI,Consumers Energy Co,IOU,AC Peak Cycling Program,DR-DLC,Residential,Thermostat/AC,Closed to new,enrollment gift card + seasonal bill credits,"$32/yr bill credits (Jun-Sep, ~$5/mo) + sign-up Visa gift card",Enrollment currently closed (existing participants continue); cycling on hottest days,N/A (AC cycling switch device),Summer event days,,,No,Unknown,Closed to new enrollment,https://www.michigannewssource.com/2024/07/editorial-consumers-energys-ac-peak-cycling-program-offers-sweating-for-savings/,2026-08-08,Medium
MISO,MI,Consumers Energy Co,IOU,Smart Thermostat Program,DR-BYOT,Residential,Thermostat/AC,Opt-in,enrollment bonus + seasonal bill credit,$50 enrollment + $25/summer thereafter,Summer events,N/A (BYOT pilot),Summer event days,,,No,Summer Rate;Critical Peak Pricing,Active,https://www.consumersenergy.com/residential/account-and-billing/rates/electric-rates-and-programs/rate-plan-options/time-of-use-rate-plans,2026-08-08,Medium
MISO,MI,Consumers Energy Co,IOU,PowerMIDrive Smart Charging Incentive,EV-Rate,Residential,EV/EVSE,Opt-in,monthly bill credit for off-peak charging + mandatory TOU enrollment,$10/mo credit up to $120 over 12 months per EV,Charge 11pm-6am weekdays (anytime weekends); 3 off-schedule exceptions/mo allowed; requires enrollment in Nighttime Savers Rate (RPM_1050),Nighttime Savers Rate RPM_1050 + Smart Charging Incentive,Off-peak credit window 11p-6a weekdays,Nighttime Savers Rate (TOU) - rates not published in source,,No,Nighttime Savers Rate,Active,https://www.consumersenergy.com/residential/savings-and-clean-energy/electric-vehicles/smart-charging-incentive,2026-08-08,High
MISO,MI,Consumers Energy Co,IOU,Distributed Generation Program (Inflow-Outflow),Export-Comp,All,Solar+Storage,Opt-in,retail rate for imported energy; power-supply-only credit for exported energy,Export credit approx 6-12 cents/kWh (power supply component only; no distribution/transmission credit),Replaced full net metering in 2018; DG cap raised to 4% of peak load,Inflow-Outflow Distributed Generation Tariff,,,"Exported kWh credited at power-supply component of retail rate only (~6-12c/kWh), not full retail rate",Yes-restricted,Unknown,Active,https://planetdetroit.org/2023/05/legislators-introduce-bills-to-lift-solar-cap-restore-net-metering-and-establish-fair-value-tariff-for-distributed-generation/,2026-08-08,Medium
MISO,MI,DTE Electric Co,IOU,Time of Day 3pm-7pm Rate,TOU-Rate,Residential,Any,Opt-in,rate discount off-peak,"Summer (Jun-Sep) on 14.407c/kWh (capacity+non-capacity), off 8.709c/kWh; Oct-May on 10.319c/kWh, off 8.709c/kWh (power supply only, excl. distribution/RIA)",,Rate D1.11,Weekdays 3p-7p,"summer on 14.407c / off 8.709c; non-summer on 10.319c / off 8.709c per kWh (power supply component)",,Yes,DTE Smart Charge;Smart Savers,Active,https://www.dteenergy.com/content/dam/dteenergy/deg/website/residential/Service-Request/pricing/residential-pricing-options/ResidentialElectricRateCard.pdf,2026-08-08,High
MISO,MI,DTE Electric Co,IOU,Time of Day 11am-7pm Rate,TOU-Rate,Residential,Any,Opt-in,rate discount off-peak,"Jun-Oct on 16.203c/kWh, off 5.456c/kWh; Nov-May on 13.687c/kWh, off 5.241c/kWh (power supply only)",,Rate D1.2,Weekdays 11a-7p,"summer on 16.203c / off 5.456c; non-summer on 13.687c / off 5.241c per kWh (power supply component)",,Yes,DTE Smart Charge;Smart Savers,Active,https://www.dteenergy.com/content/dam/dteenergy/deg/website/residential/Service-Request/pricing/residential-pricing-options/ResidentialElectricRateCard.pdf,2026-08-08,High
MISO,MI,DTE Electric Co,IOU,Overnight Savers Rate,TOU-Rate,Residential,Any,Opt-in,three-tier rate discount with super off-peak overnight window,"Jun-Sep on 15.991c, off 10.784c, super-off-peak 6.852c per kWh (power supply); Oct-May on 9.274c, off 8.214c, super-off-peak 6.852c",,Rate D1.13,Weekdays peak 3p-7p; super off-peak 1a-7a daily,"summer on 15.991c/off 10.784c/super-off-peak 6.852c; non-summer on 9.274c/off 8.214c/super-off-peak 6.852c per kWh",,Yes,DTE Smart Charge,Active,https://www.dteenergy.com/content/dam/dteenergy/deg/website/residential/Service-Request/pricing/residential-pricing-options/ResidentialElectricRateCard.pdf,2026-08-08,High
